Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Fill in the Blanks,Find Fill in the Blanks,Mary is hanging ___ the central library waiting for her friend.,in,at,around,round,around,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Hard work is indispensable ___ success.,for,in,at,to,to,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Have you begun to key ___ the annual report?,in,on,to,at,in,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He sighed ___ satisfaction.,in,over,for,with,with,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,She was negligent ___ her duties.,with,in,about,of,in,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He refused to partake ___ the feast.,in,of,at,with,of,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He was ___ suspicion for irregular practices.,above,in,on,under,under,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,All the servants waited ___ her.,upon,on,for,with,on,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"When John was moving ___ his office, he was attacked.",in,inside,to,towards,towards,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The old man sat ___ the fire.,beside,near,by,besides,by,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Worshipping the sun is prevalent ___ the tribals.,to,among,of,in,among,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The cat ran ___ the wall.,up,along,across,towards,along,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He appealed ___ the judgement.,over,to,against,for,against,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,He makes no pretensions ___ the wealth of his learning.,about,in,over,to,to,4.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Do not hanker ___ wealth.,over,upon,after,in,after,4.pdf
English,Idiom,Find Idiom,Aboveboard means,ready to go,to work enthusiastically,to stand out,being fair and honest,being fair and honest,4.pdf
English,Idiom,Find Idiom,Have an axe to grind means,to have unfinished business,to solve a difficult problem,to have a self-interested motive,to redeem oneself,to have a self-interested motive,4.pdf
English,Idiom,Find Idiom,Ins and outs means,the entrances and exits,absolutely necessary,the minute particulars,the problems and solutions,the minute particulars,4.pdf
English,Idiom,Find Idiom,Itching palm means,getting rich,losing money,greed for money,making generous donation,greed for money,4.pdf
English,Idiom,Find Idiom,The small hours means,in a short while,in the morning,the initial stage,between one and three o'clock in the morning,between one and three o'clock in the morning,4.pdf
English,Idiom,Find Idiom,Keep body and soul together means,keeping body and soul intact,stay physically fit,stay alive,have bare minimum,stay alive,4.pdf
English,Idiom,Find Idiom,Kiss the rod means,be in pain,embrace challenges,submit to correction,in trouble,submit to correction,4.pdf
English,Idiom,Find Idiom,Cry for the moon means,cry for help,yearning for solace,accomplish incredible feats,crave the unattainable,crave the unattainable,4.pdf
English,Idiom,Find Idiom,Salt of the earth means,the very best,the technical know-how,unwanted possession,of lesser importance,the very best,4.pdf
English,Idiom,Find Idiom,High words means,wise words,bombastic words,angry words,comforting words,angry words,4.pdf
English,Error Detection,Find Error,"(i) They were impressed by his performance. (ii) They were impressed with his performance. (iii) They were impressed over his performance.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (ii),4.pdf
English,Error Detection,Find Error,"(i) The purse is lying on the table. (ii) The purse is lying at the table. (iii) The purse is lying in the table.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (ii),4.pdf
English,Error Detection,Find Error,"(i) The man whom I marry must be able to make a decent omelette. (ii) The man that I marry must be able to make a decent omelette. (iii) The man who I marry must be able to make a decent omelette.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (ii),4.pdf
English,Error Detection,Find Error,"(i) They travelled toward the jungle. (ii) They travelled into the jungle. (iii) They travelled across the jungle.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",4.pdf
English,Error Detection,Find Error,"(i) I own that book. (ii) That book belongs to me. (iii) That book is mine.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",4.pdf
English,Error Detection,Find Error,"(i) Everyone in the house heard me singing in the shower. (ii) Everyone in the house heard mine singing in the shower. (iii) Everyone in the house heard my singing in the shower.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (iii),4.pdf
English,Error Detection,Find Error,"(i) Every student was told to go to their advisor. (ii) Every student was told to go to his or her advisor. (iii) The students were told to go to their advisors.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",4.pdf
English,Error Detection,Find Error,"(i) When he lost my book I became very angry. (ii) When he lost my book I got very angry. (iii) When he lost my book I felt very angry.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",4.pdf
English,Error Detection,Find Error,"(i) The book will be launched next week. (ii) In the following week, they launched the book. (iii) In the next week, they launched the book.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)",(i) and (ii),4.pdf
English,Error Detection,Find Error,"(i) The daughter praised only her brother. (ii) The daughter only praised her brother. (iii) The daughter praised her only brother.",(i) and (ii),(i) and (iii),(ii) and (iii),"(i), (ii) and (iii)","(i), (ii) and (iii)",4.pdf
English,Error Detection,Find Error,The alarm is triggered / by a sensor / that detects movement / No error,The alarm is triggered,by a sensor,that detects movement,No error,No error,4.pdf
English,Error Detection,Find Error,My father taught / me how to / play guitar / No error,My father taught,me how to,play guitar,No error,play guitar,4.pdf
English,Error Detection,Find Error,Bridges across / this river are / hundreds of years old / No error,Bridges across,this river are,hundreds of years old,No error,No error,4.pdf
English,Error Detection,Find Error,Henry and me / have been invited / to Jack's party / No error,Henry and me,have been invited,to Jack's party,No error,Henry and me,4.pdf
English,Error Detection,Find Error,The information / was shared / amongst all members / No error,The information,was shared,amongst all members,No error,No error,4.pdf
English,Error Detection,Find Error,One of the movers / realizes the piano is about / to fall directly on their heads / No error,One of the movers,realizes the piano is about,to fall directly on their heads,No error,to fall directly on their heads,4.pdf
English,Error Detection,Find Error,She lays down / for a nap / after her mother's visit / No error,She lays down,for a nap,after her mother's visit,No error,She lays down,4.pdf
English,Error Detection,Find Error,Try and be home / before your curfew / this time / No error,Try and be home,before your curfew,this time,No error,Try and be home,4.pdf
English,Error Detection,Find Error,Some of the ice in the cooler / always come in handy / for treating sports injuries / No error,Some of the ice in the cooler,always come in handy,for treating sports injuries,No error,always come in handy,4.pdf
English,Error Detection,Find Error,Neither my father / nor my mother / are going to the party / No error,Neither my father,nor my mother,are going to the party,No error,are going to the party,4.pdf
English,Error Detection,Find Error,"I want you / to fully realize the / consequence of this / No error",I want you,to fully realize the,consequence of this,No error,consequence of this,4.pdf
English,Error Detection,Find Error,"Don't hold this / dirty insect in your hand; / throw it / No error",Don't hold this,dirty insect in your hand;,throw it,No error,throw it,4.pdf
English,Error Detection,Find Error,It is better to keep one's head / in the face of danger than losing / one's courage and get panicky / No error,It is better to keep one's head,in the face of danger than losing,one's courage and get panicky,No error,in the face of danger than losing,4.pdf
English,Error Detection,Find Error,When I entered / the compartment / there was no place for me / No error,When I entered,the compartment,there was no place for me,No error,there was no place for me,4.pdf
English,Error Detection,Find Error,"You may be able / to run further, / but Amit can run faster / No error",You may be able,"to run further,",but Amit can run faster,No error,"to run further,",4.pdf
English,Error Detection,Find Error,I don't / remember him / ever helping me / No error,I don't,remember him,ever helping me,No error,remember him,4.pdf
English,Error Detection,Find Error,One must learn / to distinguish / good from bad / No error,One must learn,to distinguish,good from bad,No error,No error,4.pdf
English,Error Detection,Find Error,I want to know / as to why / I have been detained / No error,I want to know,as to why,I have been detained,No error,as to why,4.pdf
English,Error Detection,Find Error,There is / many a book / you can choose from / No error,There is,many a book,you can choose from,No error,No error,4.pdf
English,Error Detection,Find Error,No sooner / I had spoken / than he left / No error,No sooner,I had spoken,than he left,No error,I had spoken,4.pdf
English,Antonym,Find Antonym,EXPLICIT,unreserved,plain,absolute,uncertain,uncertain,4.pdf
English,Antonym,Find Antonym,CLANDESTINE,unrevealed,undisclosed,unconcealed,underhand,unconcealed,4.pdf
English,Antonym,Find Antonym,CHRONIC,infrequent,ingrained,intermittent,inveterate,infrequent,4.pdf
English,Antonym,Find Antonym,PERIL,adventure,security,uncertainty,danger,security,4.pdf
English,Antonym,Find Antonym,PERIPHERY,boundary,edge,perimeter,core,core,4.pdf
English,One Word Substitution,Find One Word Substitution,A person employed to stand at the entrance to a club,butler,boxer,bouncer,chauffeur,bouncer,4.pdf
English,One Word Substitution,Find One Word Substitution,A person whose job is to manage the financial affairs of a school or college,moderator,broker,curator,bursar,bursar,4.pdf
English,One Word Substitution,Find One Word Substitution,To make a company smaller in order to reduce costs,downsize,cut,scale,slash,downsize,4.pdf
English,One Word Substitution,Find One Word Substitution,A person who worries all the time,hypoallergenic,hypotensive,hypochondriac,hypoglycaemic,hypochondriac,4.pdf
English,One Word Substitution,Find One Word Substitution,A place where people meet for an organized event,location,spot,venue,area,venue,4.pdf
English,Synonym,Find Synonym,FRAUGHT,wanting,teeming,lacking,fading,teeming,4.pdf
English,Synonym,Find Synonym,BLAND,calming,thrilling,stirring,moving,calming,4.pdf
English,Synonym,Find Synonym,BLATANT,unobtrusive,inconspicuous,unpolished,unnoticeable,unpolished,4.pdf
English,Synonym,Find Synonym,BOGUS,candid,bonafide,phony,definite,phony,4.pdf
English,Synonym,Find Synonym,AXIOM,paradox,dictum,absurdity,ambiguity,dictum,4.pdf
English,Idiom,Find Idiom,To be in a huff means,to be in a hurry,to breathe in a noisy way,to be in a bad mood,to suffer from illness,to be in a bad mood,4.pdf
English,Idiom,Find Idiom,To make inroads means,to succeed by reducing the power of something else,to make a connection between two things,to separate one thing from another,to create new beginnings,to succeed by reducing the power of something else,4.pdf
English,Idiom,Find Idiom,Have somebody taped means,to understand somebody completely and deal with them successfully,to cling to somebody romantically,to record somebody's conversation,to keep track of somebody's dealings and whereabouts,to understand somebody completely and deal with them successfully,4.pdf
English,Idiom,Find Idiom,To be in a jam means,to be stuck in traffic,to be in a difficult situation,to play a musical instrument,to dance the night away,to be in a difficult situation,4.pdf
English,Idiom,Find Idiom,To have nine lives means,to be very lucky in dangerous situations,to have multiple identities,to hide one's identity,to be reincarnated nine times,to be very lucky in dangerous situations,4.pdf
GK,Current Affairs,Find Current Affairs,"A few years back, the Indian Rupee was given a unique symbol. Who is the designer of the symbol?",Gurpreet Singh,K. K. Shibin,Nondita,D. Udaya Kumar,D. Udaya Kumar,4.pdf
GK,Current Affairs,Find Current Affairs,Which of the following countries has become the 189th member of the World Bank?,Fiji,Angola,Samoa,Nauru,Nauru,4.pdf
GK,Current Affairs,Find Current Affairs,"Who among the following had won the Nobel Prize, 2016 in the field of Economic Sciences?",Bengt Holmström,Oliver Hart,J. Michael Kosterlitz,Both (A) and (B),Both (A) and (B),4.pdf
GK,General,Standard MCQ,Arjuna Award is given for,outstanding performance in Sports,lifetime contribution to Indian Cinema,exceptional service towards advancement of Arts,None of the above,outstanding performance in Sports,4.pdf
GK,General,Standard MCQ,"The book, The Sleepwalker's Dream was written by",Arunava Sinha,Dhrubajyoti Borah,Roxy Arora,Colin Thubron,Dhrubajyoti Borah,4.pdf
GK,Computer,Standard MCQ,Which generation of computers is based on the concept of Artificial Intelligence (AI)?,First Generation,Third Generation,Fourth Generation,Fifth Generation,Fifth Generation,4.pdf
GK,Economy,Find Economy,What is a banker's cheque?,Debit card,Demand draft,Banker's draft,Pay order,Pay order,4.pdf
GK,Economy,Find Economy,Inflation usually leads to,rise in demand for money,rise in money supply,rise in deficit,rise in general price index,rise in general price index,4.pdf
GK,Economy,Find Economy,Which nationalized bank has the largest number of branches?,Punjab National Bank,State Bank of India,Central Bank,Canara Bank,State Bank of India,4.pdf
GK,Indian Polity,Find Indian Polity,The Chairman of the NITI Aayog in India is,the President,the Finance Minister,the Prime Minister,the Governor of Reserve Bank of India (RBI),the Prime Minister,4.pdf
GK,General,Standard MCQ,"Who among the following is the author of the book, Midnight's Children?",Amitav Ghosh,Salman Rushdie,Hamid Ansari,Chetan Bhagat,Salman Rushdie,4.pdf
GK,General,Standard MCQ,World Environment Day is celebrated every year on,5th June,16th October,10th August,18th May,5th June,4.pdf
GK,Geography,Find Geography,Which of the following is the boundary line between India and China?,Radcliffe Line,Hindenburg Line,McMahon Line,None of the above,McMahon Line,4.pdf
GK,Geography,Find Geography,Which of the following is the capital of Bulgaria?,Addis Ababa,Sofia,Buenos Aires,Seoul,Sofia,4.pdf
GK,Economy,Find Economy,What is the full form of the abbreviation IRDAI which is related to insurance sector?,Insurance Regulatory and Development Agency of India,Insurance Regulatory and Development Authority of India,Insurance Research and Development Authority of India,None of the above,Insurance Regulatory and Development Authority of India,4.pdf
GK,General,Standard MCQ,In which of the following States is the bull-taming festival 'Jallikattu' played?,Karnataka,Kerala,Andhra Pradesh,Tamil Nadu,Tamil Nadu,4.pdf
GK,General,Standard MCQ,"Who among the following is the author of the book, Indomitable Spirit?",A. P. J. Abdul Kalam,Abul Kalam Azad,Rajiv Gandhi,Manmohan Singh,A. P. J. Abdul Kalam,4.pdf
GK,Economy,Find Economy,What is the full form of RTGS?,Rural Telephone Guarantee Scheme,Real Time Gross Settlement,Real Time Grant Settlement,Real Time Gross Settlement Strategy,Real Time Gross Settlement,4.pdf
GK,General,Standard MCQ,The headquarters of the International Monetary Fund (IMF) is located in,"Geneva, Switzerland","Vienna, Austria","Washington, D.C., USA","Rome, Italy","Washington, D.C., USA",4.pdf
GK,Economy,Find Economy,The Securities and Exchange Board of India (SEBI) has formed a committee on corporate governance. Which of the following is that committee?,Naysa Modi Committee,Saketh Sundar Committee,Uday Kotak Committee,Chitale Committee,Uday Kotak Committee,4.pdf
GK,Geography,Find Geography,In which of the following countries is the Chabahar Port located?,Sudan,Iran,Iraq,Sri Lanka,Iran,4.pdf
GK,Economy,Find Economy,A 'closed economy' is an economy in which,the money supply is fully controlled,deficit financing takes place,only exports take place,neither exports nor imports take place,neither exports nor imports take place,4.pdf
GK,Economy,Find Economy,The Government has undertaken grading and standardization of various agricultural products through the,Food Corporation of India,Directorate of Marketing and Inspection,Indian Standards Institution,Central Statistical Organization,Directorate of Marketing and Inspection,4.pdf
GK,Economy,Find Economy,The purpose of the 'India Brand Equity Fund' is,to promote inbound tourism,to make 'Made in India' a label of quality,to organize trade fairs,to provide venture capital to IT sector,to make 'Made in India' a label of quality,4.pdf
GK,Economy,Find Economy,What is Google tax in India?,It is paid by every employee working in private organizations,It is a tax levied on foreign e-commerce company's income,It is the tax imposed by the Indian Government on companies according to the dividend paid to a company's investor,None of the above,It is a tax levied on foreign e-commerce company's income,4.pdf
GK,Economy,Find Economy,Which one of the following rates is not determined by the RBI?,Bank rate,Repo rate,Prime lending rate,Reverse repo rate,Prime lending rate,4.pdf
GK,Economy,Find Economy,Which of the following types of banks are allowed to operate foreign currency accounts?,Foreign Banks,Regional Rural Banks,Nationalized Banks,None of the above,None of the above,4.pdf
GK,Economy,Find Economy,What is the full form of FII?,Foreign Investment in India,Formal Investment in India,Fair Institutional Investment,Foreign Institutional Investment,Foreign Institutional Investment,4.pdf
GK,Economy,Find Economy,Which of the following is a public sector unit?,TCS,ICICI Bank,TESCO,BHEL,BHEL,4.pdf
GK,Economy,Find Economy,Which of the following organizations is known as the Market Regulator in India?,IBA,SEBI,AMFI,NSDL,SEBI,4.pdf
GK,Economy,Find Economy,"In banking terminology, what is the full form of NPA?",New Performing Avenues,Net Performing Average,Non-Performing Assets,Negotiable and Preferential Asset,Non-Performing Assets,4.pdf
GK,Science,Find Science,WiMAX is related to which one of the following?,Biotechnology,Space technology,Missile technology,Communication technology,Communication technology,4.pdf
GK,Current Affairs,Find Current Affairs,Who among the following had won his fifth FIFA Best Player Award in 2017?,Lionel Messi,Cristiano Ronaldo,James Rodriguez,Manuel Neuer,Cristiano Ronaldo,4.pdf
GK,Economy,Find Economy,Disguised unemployment generally means,large number of people remain unemployed,alternative employment is not available,marginal productivity of labour is zero,productivity of worker is low,marginal productivity of labour is zero,4.pdf
GK,Economy,Find Economy,"In the 'Index of Eight Core Industries', which one of the following is given the highest weight?",Coal production,Electricity generation,Fertilizer production,Steel production,Electricity generation,4.pdf
GK,Economy,Find Economy,Which one of the following is not a feature of Limited Liability Partnership Firm?,Partners should be less than 20,Partnership and management need not be separate,Internal governance may be decided by mutual agreement among partners,It is a corporate body with perpetual succession,Partners should be less than 20,4.pdf
GK,Economy,Find Economy,"Grameen Bank, which is known as the bank of the poor, is an organization based in",Pakistan,India,Bangladesh,Nepal,Bangladesh,4.pdf
GK,Economy,Find Economy,Which of the following foreign banks has the largest number of branches in India?,Royal Bank of Scotland N.V.,Bank of America,Deutsche Bank,Standard Chartered Bank,Standard Chartered Bank,4.pdf